 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457068098e-05+0.000000000000000000e+00j), (3.244700635360867535e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
