 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
 (3.212589211457067421e-05+0.000000000000000000e+00j), (3.244700635360868213e-05+0.000000000000000000e+00j), (3.245207616853372696e-05+0.000000000000000000e+00j)
